Predictors,Budget Size,Trace,Mispredictions per 1000 Instructions,,,,,,Budget Size,2-Level Local,Alpha 21264,Perceptron,G-Share,
2-Level Local,8K,Integer,12.42,,,,,Integer,8K,12.42,16.62,10.84,11.47,
2-Level Local,8K,Floating Point,3.66,,,,,Integer,16K,11.24,15.05,8.9,9.56,
2-Level Local,8K,Multimedia,9.93,,,,,Integer,32K,10.02,13.37,7.81,8.6,
2-Level Local,8K,Server,13.71,,,,,Integer,64K,8.86,11.81,7.14,7.98,
2-Level Local,16K,Integer,11.24,,,,,Integer,128K,7.88,10.57,5.26,7.61,
2-Level Local,16K,Floating Point,3.46,,,,,Integer,1M,5.96,8.35,3.98,6.95,
2-Level Local,16K,Multimedia,9.67,,,,,Floating Point,8K,3.66,4.49,4.32,4.48,
2-Level Local,16K,Server,11.98,,,,,Floating Point,16K,3.46,4.07,3.5,4.34,
2-Level Local,32K,Integer,10.02,,,,,Floating Point,32K,3.52,3.84,2.73,4.18,
2-Level Local,32K,Floating Point,3.52,,,,,Floating Point,64K,3.36,3.92,2.65,3.89,
2-Level Local,32K,Multimedia,9.62,,,,,Floating Point,128K,3.32,3.98,1.91,3.73,
2-Level Local,32K,Server,9.88,,,,,Floating Point,1M,3.58,3.99,1.7,3.53,
2-Level Local,64K,Integer,8.86,,,,,Multimedia,8K,9.93,11.88,8.53,10.24,
2-Level Local,64K,Floating Point,3.36,,,,,Multimedia,16K,9.67,11.33,7.95,9.86,
2-Level Local,64K,Multimedia,9.65,,,,,Multimedia,32K,9.62,11.07,7.85,9.7,
2-Level Local,64K,Server,7.65,,,,,Multimedia,64K,9.65,10.84,7.49,9.57,
2-Level Local,128K,Integer,7.88,,,,,Multimedia,128K,9.79,10.78,7.54,9.57,
2-Level Local,128K,Floating Point,3.32,,,,,Multimedia,1M,10.7,11.57,7.6,9.81,
2-Level Local,128K,Multimedia,9.79,,,,,Server,8K,13.71,15.2,12.8,13.91,
2-Level Local,128K,Server,5.95,,,,,Server,16K,11.98,13.71,10.36,10.99,
2-Level Local,1M,Integer,5.96,,,,,Server,32K,9.88,11.96,7.45,8.18,
2-Level Local,1M,Floating Point,3.58,,,,,Server,64K,7.65,10.08,4.74,6.24,
2-Level Local,1M,Multimedia,10.7,,,,,Server,128K,5.95,8.18,3.26,5.07,
2-Level Local,1M,Server,3.97,,,,,Server,1M,3.97,5.58,1.85,3.94,
Alpha 21264,8K,Integer,16.62,,,,,,,,,,,
Alpha 21264,8K,Floating Point,4.49,,,,,,,,,,,
Alpha 21264,8K,Multimedia,11.88,,,,,,,,,,,
Alpha 21264,8K,Server,15.2,,,,,,,,,,,
Alpha 21264,16K,Integer,15.05,,,,,,,,,,,
Alpha 21264,16K,Floating Point,4.07,,,,,,,,,,,
Alpha 21264,16K,Multimedia,11.33,,,,,,,,,,,
Alpha 21264,16K,Server,13.71,,,,,,,,,,,
Alpha 21264,32K,Integer,13.37,,,,,,,,,,,
Alpha 21264,32K,Floating Point,3.84,,,,,,,,,,,
Alpha 21264,32K,Multimedia,11.07,,,,,,,,,,,
Alpha 21264,32K,Server,11.96,,,,,,,,,,,
Alpha 21264,64K,Integer,11.81,,,,,,,,,,,
